year,month,day_of_month,day_of_week,fl_date,op_unique_carrier,op_carrier_fl_num,origin,origin_city_name,origin_state_nm,dest,dest_city_name,dest_state_nm,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,crs_elapsed_time,actual_elapsed_time,air_time,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,dep_hour
2024,4,18,4,4/18/2024,MQ,3535,DFW,"Dallas/Fort Worth, TX",Texas,RAP,"Rapid City, SD",South Dakota,1018,1015,0,21,1036,1135,4,1149,1139,-10,0,NULL,0,151,144,119,835,0,0,0,0,0,10
2024,1,1,1,1/1/2024,AA,148,CLT,"Charlotte, NC",North Carolina,PHX,"Phoenix, AZ",Arizona,1637,1633,0,14,1647,1900,6,1923,1906,-17,0,NULL,0,286,273,253,1773,0,0,0,0,0,16
2024,12,12,4,12/12/2024,9E,5440,CHA,"Chattanooga, TN",Tennessee,ATL,"Atlanta, GA",Georgia,1000,952,0,13,1005,1034,8,1059,1042,-17,0,NULL,0,59,50,29,106,0,0,0,0,0,9
2024,4,8,1,4/8/2024,WN,1971,OMA,"Omaha, NE",Nebraska,LAS,"Las Vegas, NV",Nevada,1330,1334,4,8,1342,1425,6,1430,1431,1,0,NULL,0,180,177,163,1099,0,0,0,0,0,13
2024,2,16,5,2/16/2024,WN,862,BWI,"Baltimore, MD",Maryland,MYR,"Myrtle Beach, SC",South Carolina,1340,1333,0,16,1349,1505,4,1510,1509,-1,0,NULL,0,90,96,76,399,0,0,0,0,0,13
2024,4,15,1,4/15/2024,WN,2358,SAN,"San Diego, CA",California,PHX,"Phoenix, AZ",Arizona,715,708,0,13,721,812,4,830,816,-14,0,NULL,0,75,68,51,304,0,0,0,0,0,7
2024,11,27,3,11/27/2024,G4,163,MLB,"Melbourne, FL",Florida,ABE,"Allentown/Bethlehem/Easton, PA",Pennsylvania,933,924,0,12,936,1153,5,1202,1158,-4,0,NULL,0,149,154,137,914,0,0,0,0,0,9
2024,8,31,6,8/31/2024,AS,1269,BNA,"Nashville, TN",Tennessee,PDX,"Portland, OR",Oregon,1855,1850,0,21,1911,2125,3,2155,2128,-27,0,NULL,0,300,278,254,1973,0,0,0,0,0,18
2024,4,19,5,4/19/2024,OO,3438,LAX,"Los Angeles, CA",California,SJC,"San Jose, CA",California,820,814,0,29,843,932,5,939,937,-2,0,NULL,0,79,83,49,308,0,0,0,0,0,8
2024,2,8,4,2/8/2024,OO,5654,SFO,"San Francisco, CA",California,BFL,"Bakersfield, CA",California,2235,2227,0,17,2244,2324,3,2350,2327,-23,0,NULL,0,75,60,40,238,0,0,0,0,0,22
